ts_id,material_id,geography_id,time_level_id
27803,83498,30201,5
27804,83499,30201,5
27805,83500,30201,5
27806,83501,30201,5
27807,83502,30201,5
27808,83498,30202,5
27809,83499,30202,5
27810,83500,30202,5
27811,83501,30202,5
27812,83502,30202,5
27813,83498,30203,5
27814,83499,30203,5
27815,83500,30203,5
27816,83501,30203,5
27817,83502,30203,5
27818,83498,30204,5
27819,83499,30204,5
27820,83500,30204,5
27821,83501,30204,5
27822,83502,30204,5
27823,83498,30205,5
27824,83499,30205,5
27825,83500,30205,5
27826,83501,30205,5
27827,83502,30205,5
27828,83498,30206,5
27829,83499,30206,5
27830,83500,30206,5
27363,83498,30113,5
27364,83499,30113,5
27365,83500,30113,5
27366,83501,30113,5
27367,83502,30113,5
27368,83498,30114,5
27369,83499,30114,5
27370,83500,30114,5
27371,83501,30114,5
27372,83502,30114,5
27373,83498,30115,5
27374,83499,30115,5
27375,83500,30115,5
27376,83501,30115,5
27377,83502,30115,5
27378,83498,30116,5
27379,83499,30116,5
27380,83500,30116,5
27381,83501,30116,5
27382,83502,30116,5
27383,83498,30117,5
27384,83499,30117,5
27385,83500,30117,5
27386,83501,30117,5
27387,83502,30117,5
27388,83498,30118,5
27389,83499,30118,5
27390,83500,30118,5
27391,83501,30118,5
27392,83502,30118,5
27393,83498,30119,5
27394,83499,30119,5
27395,83500,30119,5
27396,83501,30119,5
27397,83502,30119,5
27398,83498,30120,5
27399,83499,30120,5
27400,83500,30120,5
27401,83501,30120,5
27402,83502,30120,5
27403,83498,30121,5
27404,83499,30121,5
27405,83500,30121,5
27406,83501,30121,5
27407,83502,30121,5
27408,83498,30122,5
27409,83499,30122,5
27410,83500,30122,5
27411,83501,30122,5
27412,83502,30122,5
27413,83498,30123,5
27414,83499,30123,5
27415,83500,30123,5
27416,83501,30123,5
27417,83502,30123,5
27418,83498,30124,5
27419,83499,30124,5
27420,83500,30124,5
27421,83501,30124,5
27422,83502,30124,5
27423,83498,30125,5
27424,83499,30125,5
27425,83500,30125,5
27426,83501,30125,5
27427,83502,30125,5
27428,83498,30126,5
27429,83499,30126,5
27430,83500,30126,5
27431,83501,30126,5
27432,83502,30126,5
27433,83498,30127,5
27434,83499,30127,5
27435,83500,30127,5
27436,83501,30127,5
27437,83502,30127,5
27438,83498,30128,5
27439,83499,30128,5
27440,83500,30128,5
27441,83501,30128,5
27442,83502,30128,5
27443,83498,30129,5
27444,83499,30129,5
27445,83500,30129,5
27446,83501,30129,5
27447,83502,30129,5
27448,83498,30130,5
27449,83499,30130,5
27450,83500,30130,5
27451,83501,30130,5
27452,83502,30130,5
27453,83498,30131,5
27454,83499,30131,5
27455,83500,30131,5
27456,83501,30131,5
27457,83502,30131,5
27458,83498,30132,5
27459,83499,30132,5
27460,83500,30132,5
27461,83501,30132,5
27462,83502,30132,5
27463,83498,30133,5
27464,83499,30133,5
27465,83500,30133,5
27466,83501,30133,5
27467,83502,30133,5
27468,83498,30134,5
27469,83499,30134,5
27470,83500,30134,5
27471,83501,30134,5
27472,83502,30134,5
27473,83498,30135,5
27474,83499,30135,5
27475,83500,30135,5
27476,83501,30135,5
27477,83502,30135,5
27478,83498,30136,5
27479,83499,30136,5
27480,83500,30136,5
27481,83501,30136,5
27482,83502,30136,5
27483,83498,30137,5
27484,83499,30137,5
27485,83500,30137,5
27486,83501,30137,5
27487,83502,30137,5
27488,83498,30138,5
27489,83499,30138,5
27490,83500,30138,5
27491,83501,30138,5
27492,83502,30138,5
27493,83498,30139,5
27494,83499,30139,5
27495,83500,30139,5
27496,83501,30139,5
27497,83502,30139,5
27498,83498,30140,5
27499,83499,30140,5
27500,83500,30140,5
27501,83501,30140,5
27502,83502,30140,5
27503,83498,30141,5
27504,83499,30141,5
27505,83500,30141,5
27506,83501,30141,5
27507,83502,30141,5
27508,83498,30142,5
27509,83499,30142,5
27510,83500,30142,5
27511,83501,30142,5
27512,83502,30142,5
27513,83498,30143,5
27514,83499,30143,5
27515,83500,30143,5
27516,83501,30143,5
27517,83502,30143,5
27518,83498,30144,5
27519,83499,30144,5
27520,83500,30144,5
27521,83501,30144,5
27522,83502,30144,5
27523,83498,30145,5
27524,83499,30145,5
27525,83500,30145,5
27526,83501,30145,5
27527,83502,30145,5
27528,83498,30146,5
27529,83499,30146,5
27530,83500,30146,5
27531,83501,30146,5
27532,83502,30146,5
27533,83498,30147,5
27534,83499,30147,5
27535,83500,30147,5
27536,83501,30147,5
27537,83502,30147,5
27538,83498,30148,5
27539,83499,30148,5
27540,83500,30148,5
27541,83501,30148,5
27542,83502,30148,5
27543,83498,30149,5
27544,83499,30149,5
27545,83500,30149,5
27546,83501,30149,5
27547,83502,30149,5
27548,83498,30150,5
27549,83499,30150,5
27550,83500,30150,5
27551,83501,30150,5
27552,83502,30150,5
27553,83498,30151,5
27554,83499,30151,5
27555,83500,30151,5
27556,83501,30151,5
27557,83502,30151,5
27558,83498,30152,5
27559,83499,30152,5
27560,83500,30152,5
27561,83501,30152,5
27562,83502,30152,5
27563,83498,30153,5
27564,83499,30153,5
27565,83500,30153,5
27566,83501,30153,5
27567,83502,30153,5
27568,83498,30154,5
27569,83499,30154,5
27570,83500,30154,5
27571,83501,30154,5
27572,83502,30154,5
27573,83498,30155,5
27574,83499,30155,5
27575,83500,30155,5
27576,83501,30155,5
27577,83502,30155,5
27578,83498,30156,5
27579,83499,30156,5
27580,83500,30156,5
27581,83501,30156,5
27582,83502,30156,5
27583,83498,30157,5
27584,83499,30157,5
27585,83500,30157,5
27586,83501,30157,5
27587,83502,30157,5
27588,83498,30158,5
27589,83499,30158,5
27590,83500,30158,5
27591,83501,30158,5
27592,83502,30158,5
27593,83498,30159,5
27594,83499,30159,5
27595,83500,30159,5
27596,83501,30159,5
27597,83502,30159,5
27598,83498,30160,5
27599,83499,30160,5
27600,83500,30160,5
27601,83501,30160,5
27602,83502,30160,5
27603,83498,30161,5
27604,83499,30161,5
27605,83500,30161,5
27606,83501,30161,5
27607,83502,30161,5
27608,83498,30162,5
27609,83499,30162,5
27610,83500,30162,5
27611,83501,30162,5
27612,83502,30162,5
27613,83498,30163,5
27614,83499,30163,5
27615,83500,30163,5
27616,83501,30163,5
27617,83502,30163,5
27618,83498,30164,5
27619,83499,30164,5
27620,83500,30164,5
27621,83501,30164,5
27622,83502,30164,5
27623,83498,30165,5
27624,83499,30165,5
27625,83500,30165,5
27626,83501,30165,5
27627,83502,30165,5
27628,83498,30166,5
27629,83499,30166,5
27630,83500,30166,5
27631,83501,30166,5
27632,83502,30166,5
27633,83498,30167,5
27634,83499,30167,5
27635,83500,30167,5
27636,83501,30167,5
27637,83502,30167,5
27638,83498,30168,5
27639,83499,30168,5
27640,83500,30168,5
27641,83501,30168,5
27642,83502,30168,5
27643,83498,30169,5
27644,83499,30169,5
27645,83500,30169,5
27646,83501,30169,5
27647,83502,30169,5
27648,83498,30170,5
27649,83499,30170,5
27650,83500,30170,5
27651,83501,30170,5
27652,83502,30170,5
27653,83498,30171,5
27654,83499,30171,5
27655,83500,30171,5
27656,83501,30171,5
27657,83502,30171,5
27658,83498,30172,5
27659,83499,30172,5
27660,83500,30172,5
27661,83501,30172,5
27662,83502,30172,5
27663,83498,30173,5
27664,83499,30173,5
27665,83500,30173,5
27666,83501,30173,5
27667,83502,30173,5
27668,83498,30174,5
27669,83499,30174,5
27670,83500,30174,5
27671,83501,30174,5
27672,83502,30174,5
27673,83498,30175,5
27674,83499,30175,5
27675,83500,30175,5
27676,83501,30175,5
27677,83502,30175,5
27678,83498,30176,5
27679,83499,30176,5
27680,83500,30176,5
27681,83501,30176,5
27682,83502,30176,5
27683,83498,30177,5
27684,83499,30177,5
27685,83500,30177,5
27686,83501,30177,5
27687,83502,30177,5
27688,83498,30178,5
27689,83499,30178,5
27690,83500,30178,5
27691,83501,30178,5
27692,83502,30178,5
27693,83498,30179,5
27694,83499,30179,5
27695,83500,30179,5
27696,83501,30179,5
27697,83502,30179,5
27698,83498,30180,5
27699,83499,30180,5
27700,83500,30180,5
27701,83501,30180,5
27702,83502,30180,5
27703,83498,30181,5
27704,83499,30181,5
27705,83500,30181,5
27706,83501,30181,5
27707,83502,30181,5
27708,83498,30182,5
27709,83499,30182,5
27710,83500,30182,5
27711,83501,30182,5
27712,83502,30182,5
27713,83498,30183,5
27714,83499,30183,5
27715,83500,30183,5
27716,83501,30183,5
27717,83502,30183,5
27718,83498,30184,5
27719,83499,30184,5
27720,83500,30184,5
27721,83501,30184,5
27722,83502,30184,5
27723,83498,30185,5
27724,83499,30185,5
27725,83500,30185,5
27726,83501,30185,5
27727,83502,30185,5
27728,83498,30186,5
27729,83499,30186,5
27730,83500,30186,5
27731,83501,30186,5
27732,83502,30186,5
27733,83498,30187,5
27734,83499,30187,5
27735,83500,30187,5
27736,83501,30187,5
27737,83502,30187,5
27738,83498,30188,5
27739,83499,30188,5
27740,83500,30188,5
27741,83501,30188,5
27742,83502,30188,5
27743,83498,30189,5
27744,83499,30189,5
27745,83500,30189,5
27746,83501,30189,5
27747,83502,30189,5
27748,83498,30190,5
27749,83499,30190,5
27750,83500,30190,5
27751,83501,30190,5
27752,83502,30190,5
27753,83498,30191,5
27754,83499,30191,5
27755,83500,30191,5
27756,83501,30191,5
27757,83502,30191,5
27758,83498,30192,5
27759,83499,30192,5
27760,83500,30192,5
27761,83501,30192,5
27762,83502,30192,5
27763,83498,30193,5
27764,83499,30193,5
27765,83500,30193,5
27766,83501,30193,5
27767,83502,30193,5
27768,83498,30194,5
27769,83499,30194,5
27770,83500,30194,5
27771,83501,30194,5
27772,83502,30194,5
27773,83498,30195,5
27774,83499,30195,5
27775,83500,30195,5
27776,83501,30195,5
27777,83502,30195,5
27778,83498,30196,5
27779,83499,30196,5
27780,83500,30196,5
27781,83501,30196,5
27782,83502,30196,5
27783,83498,30197,5
27784,83499,30197,5
27785,83500,30197,5
27786,83501,30197,5
27787,83502,30197,5
27788,83498,30198,5
27789,83499,30198,5
27790,83500,30198,5
27791,83501,30198,5
27792,83502,30198,5
27793,83498,30199,5
27794,83499,30199,5
27795,83500,30199,5
27796,83501,30199,5
27797,83502,30199,5
27798,83498,30200,5
27799,83499,30200,5
27800,83500,30200,5
27801,83501,30200,5
27802,83502,30200,5
27831,83501,30206,5
27832,83502,30206,5
27833,83498,30207,5
27834,83499,30207,5
27835,83500,30207,5
27836,83501,30207,5
27837,83502,30207,5
27838,83498,30208,5
27839,83499,30208,5
27840,83500,30208,5
27841,83501,30208,5
27842,83502,30208,5
27843,83498,30209,5
27844,83499,30209,5
27845,83500,30209,5
27846,83501,30209,5
27847,83502,30209,5
27848,83498,30210,5
27849,83499,30210,5
27850,83500,30210,5
27851,83501,30210,5
27852,83502,30210,5
27853,83498,30211,5
27854,83499,30211,5
27855,83500,30211,5
27856,83501,30211,5
27857,83502,30211,5
27858,83498,30212,5
27859,83499,30212,5
27860,83500,30212,5
27861,83501,30212,5
27862,83502,30212,5
27902,83507,30213,5
27903,83506,30213,5
27904,83508,30213,5
28004,83505,30132,5
28005,83504,30132,5
28006,83503,30132,5
28007,83505,30163,5
28008,83504,30163,5
28009,83503,30163,5
28010,83505,30120,5
28011,83504,30120,5
28012,83503,30120,5
28013,83505,30127,5
28014,83504,30127,5
28015,83503,30127,5
28016,83505,30170,5
28017,83504,30170,5
28018,83503,30170,5
28019,83505,30196,5
28020,83504,30196,5
28021,83503,30196,5
28022,83505,30178,5
28023,83504,30178,5
28024,83503,30178,5
28025,83505,30118,5
28026,83504,30118,5
28027,83503,30118,5
28028,83505,30153,5
28029,83504,30153,5
28030,83503,30153,5
28031,83505,30179,5
28032,83504,30179,5
28033,83503,30179,5
28034,83505,30142,5
28035,83504,30142,5
28036,83503,30142,5
28037,83505,30143,5
28038,83504,30143,5
28039,83503,30143,5
28040,83505,30131,5
28041,83504,30131,5
28042,83503,30131,5
28043,83505,30149,5
28044,83504,30149,5
28045,83503,30149,5
28046,83505,30155,5
28047,83504,30155,5
28048,83503,30155,5
28049,83505,30210,5
28050,83504,30210,5
28051,83503,30210,5
28052,83505,30199,5
28053,83504,30199,5
28054,83503,30199,5
28055,83505,30113,5
28056,83504,30113,5
28057,83503,30113,5
28058,83505,30166,5
28059,83504,30166,5
28060,83503,30166,5
28061,83505,30198,5
28062,83504,30198,5
28063,83503,30198,5
28064,83505,30130,5
28065,83504,30130,5
28066,83503,30130,5
28067,83505,30192,5
28068,83504,30192,5
28069,83503,30192,5
28070,83505,30176,5
28071,83504,30176,5
28072,83503,30176,5
28073,83505,30193,5
28074,83504,30193,5
28075,83503,30193,5
28076,83505,30194,5
28077,83504,30194,5
28078,83503,30194,5
28079,83505,30161,5
28080,83504,30161,5
28081,83503,30161,5
28082,83505,30174,5
28083,83504,30174,5
28084,83503,30174,5
28085,83505,30156,5
28086,83504,30156,5
28087,83503,30156,5
28088,83505,30134,5
28089,83504,30134,5
28090,83503,30134,5
28091,83505,30183,5
28092,83504,30183,5
28093,83503,30183,5
28094,83505,30187,5
28095,83504,30187,5
28096,83503,30187,5
28097,83505,30190,5
28098,83504,30190,5
28099,83503,30190,5
28100,83505,30121,5
28101,83504,30121,5
28102,83503,30121,5
28103,83505,30154,5
28104,83504,30154,5
28105,83503,30154,5
28106,83505,30168,5
28107,83504,30168,5
28108,83503,30168,5
28109,83505,30148,5
28110,83504,30148,5
28111,83503,30148,5
28112,83505,30185,5
28113,83504,30185,5
28114,83503,30185,5
28115,83505,30137,5
28116,83504,30137,5
28117,83503,30137,5
28118,83505,30144,5
28119,83504,30144,5
28120,83503,30144,5
28121,83505,30205,5
28122,83504,30205,5
28123,83503,30205,5
28124,83505,30126,5
28125,83504,30126,5
28126,83503,30126,5
28127,83505,30211,5
28128,83504,30211,5
28129,83503,30211,5
28130,83505,30171,5
28131,83504,30171,5
28132,83503,30171,5
28133,83505,30206,5
28134,83504,30206,5
28135,83503,30206,5
28136,83505,30135,5
28137,83504,30135,5
28138,83503,30135,5
28139,83505,30207,5
28140,83504,30207,5
28141,83503,30207,5
28142,83505,30158,5
28143,83504,30158,5
28144,83503,30158,5
28145,83505,30182,5
28146,83504,30182,5
28147,83503,30182,5
28148,83505,30136,5
28149,83504,30136,5
28150,83503,30136,5
28151,83505,30180,5
28152,83504,30180,5
28153,83503,30180,5
28154,83505,30151,5
28155,83504,30151,5
28156,83503,30151,5
28157,83505,30181,5
28158,83504,30181,5
28159,83503,30181,5
28160,83505,30128,5
28161,83504,30128,5
28162,83503,30128,5
28163,83505,30152,5
28164,83504,30152,5
28165,83503,30152,5
28166,83505,30172,5
28167,83504,30172,5
28168,83503,30172,5
28169,83505,30125,5
28170,83504,30125,5
28171,83503,30125,5
28172,83505,30123,5
28173,83504,30123,5
28174,83503,30123,5
28175,83505,30139,5
28176,83504,30139,5
28177,83503,30139,5
28178,83505,30208,5
28179,83504,30208,5
28180,83503,30208,5
28181,83505,30209,5
28182,83504,30209,5
28183,83503,30209,5
28184,83505,30150,5
28185,83504,30150,5
28186,83503,30150,5
28187,83505,30141,5
28188,83504,30141,5
28189,83503,30141,5
28190,83505,30140,5
28191,83504,30140,5
28192,83503,30140,5
28193,83505,30173,5
28194,83504,30173,5
28195,83503,30173,5
28196,83505,30119,5
28197,83504,30119,5
28198,83503,30119,5
28199,83505,30203,5
28200,83504,30203,5
28201,83503,30203,5
28202,83505,30147,5
28203,83504,30147,5
28204,83503,30147,5
28205,83505,30124,5
28206,83504,30124,5
28207,83503,30124,5
28208,83505,30201,5
28209,83504,30201,5
28210,83503,30201,5
28211,83505,30164,5
28212,83504,30164,5
28213,83503,30164,5
28214,83505,30159,5
28215,83504,30159,5
28216,83503,30159,5
28217,83505,30117,5
28218,83504,30117,5
28219,83503,30117,5
28220,83505,30177,5
28221,83504,30177,5
28222,83503,30177,5
28223,83505,30184,5
28224,83504,30184,5
28225,83503,30184,5
28226,83505,30146,5
28227,83504,30146,5
28228,83503,30146,5
28229,83505,30169,5
28230,83504,30169,5
28231,83503,30169,5
28232,83505,30186,5
28233,83504,30186,5
28234,83503,30186,5
28235,83505,30138,5
28236,83504,30138,5
28237,83503,30138,5
28238,83505,30157,5
28239,83504,30157,5
28240,83503,30157,5
28241,83505,30162,5
28242,83504,30162,5
28243,83503,30162,5
28244,83505,30175,5
28245,83504,30175,5
28246,83503,30175,5
28247,83505,30160,5
28248,83504,30160,5
28249,83503,30160,5
28250,83505,30167,5
28251,83504,30167,5
28252,83503,30167,5
28253,83505,30188,5
28254,83504,30188,5
28255,83503,30188,5
28256,83505,30212,5
28257,83504,30212,5
28258,83503,30212,5
28259,83505,30204,5
28260,83504,30204,5
28261,83503,30204,5
28262,83505,30189,5
28263,83504,30189,5
28264,83503,30189,5
28265,83505,30200,5
28266,83504,30200,5
28267,83503,30200,5
28268,83505,30195,5
28269,83504,30195,5
28270,83503,30195,5
28271,83505,30115,5
28272,83504,30115,5
28273,83503,30115,5
28274,83505,30129,5
28275,83504,30129,5
28276,83503,30129,5
28277,83505,30202,5
28278,83504,30202,5
28279,83503,30202,5
28280,83505,30145,5
28281,83504,30145,5
28282,83503,30145,5
28283,83505,30122,5
28284,83504,30122,5
28285,83503,30122,5
28286,83505,30197,5
28287,83504,30197,5
28288,83503,30197,5
28289,83505,30165,5
28290,83504,30165,5
28291,83503,30165,5
28292,83505,30133,5
28293,83504,30133,5
28294,83503,30133,5
28295,83505,30191,5
28296,83504,30191,5
28297,83503,30191,5
28298,83505,30116,5
28299,83504,30116,5
28300,83503,30116,5
28301,83505,30114,5
28302,83504,30114,5
28303,83503,30114,5
